menu,afghanistan,bangladesh,bhutan,cambodia,fiji,kiribati,malaysia,myanmar,nepal,pakistan,papua_new_guinea,philippines,solomon_islands,sri_lanka,tonga,uzbekistan,vanuatu,yemen
1-member relation,5.0,60.0,5.0,16.0,5.0,11.0,149.0,36.0,41.0,44.0,4.0,92.0,0.0,18.0,2.0,223.0,1.0,7.0
URL,8.0,178.0,47.0,99.0,6.0,1.0,193.0,80.0,777.0,96.0,0.0,269.0,0.0,71.0,2.0,158.0,4.0,30.0
access,6.0,121.0,24.0,30.0,2.0,7.0,4123.0,77.0,119.0,509.0,38.0,591.0,1.0,556.0,2.0,64.0,4.0,3.0
addresses,7.0,1354.0,44.0,40.0,144.0,1.0,451.0,171.0,460.0,991.0,2.0,514.0,0.0,373.0,0.0,267.0,6.0,32.0
almost junction,229.0,2065.0,23.0,201.0,8.0,1.0,1119.0,848.0,1001.0,2916.0,3.0,882.0,22.0,529.0,4.0,501.0,6.0,62.0
approximate way,4440.0,2788.0,128.0,2989.0,92.0,1.0,5273.0,13803.0,777.0,9766.0,10765.0,2494.0,259.0,430.0,0.0,1385.0,89.0,28.0
area,440.0,11608.0,15.0,30.0,142.0,11.0,396.0,2674.0,2540.0,685.0,149.0,10207.0,9.0,1065.0,3.0,384.0,114.0,62.0
bad *_link highway,2.0,37.0,2.0,7.0,0.0,0.0,63.0,10.0,7.0,219.0,0.0,39.0,0.0,2.0,0.0,13.0,0.0,0.0
bad source tag,1.0,14.0,0.0,4.0,0.0,0.0,7.0,2.0,5.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
bad tag key,12.0,284.0,4.0,2.0,94.0,0.0,5.0,238.0,4103.0,350.0,1.0,150.0,18.0,10.0,0.0,44.0,40.0,2.0
big relation,4.0,19.0,8.0,3.0,0.0,0.0,5.0,2.0,13.0,22.0,0.0,19.0,0.0,14.0,0.0,9.0,0.0,0.0
boundary intersect,3.0,35.0,14.0,0.0,0.0,0.0,6.0,3.0,17.0,104.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0
brand in name,0.0,601.0,2.0,124.0,13.0,0.0,610.0,193.0,249.0,308.0,548.0,11994.0,0.0,763.0,6.0,621.0,2.0,12.0
bridge to tag,5.0,139.0,0.0,16.0,0.0,0.0,476.0,71.0,8.0,293.0,2.0,66.0,0.0,69.0,0.0,49.0,0.0,0.0
broken highway continuity,590.0,1200.0,47.0,17.0,0.0,2.0,558.0,392.0,648.0,1443.0,5.0,429.0,5.0,140.0,4.0,153.0,9.0,193.0
building landuse,1064.0,766.0,1510.0,107.0,69.0,3.0,424.0,507.0,35255.0,180.0,189.0,7807.0,17.0,2822.0,50.0,324.0,33.0,153.0
building shape,14.0,46.0,0.0,21.0,6.0,0.0,230.0,29.0,25.0,49.0,3.0,108.0,0.0,21.0,0.0,205.0,3.0,1.0
combinations,6047.0,13347.0,762.0,1504.0,1778.0,92.0,15169.0,10846.0,16721.0,81498.0,2497.0,36654.0,164.0,6138.0,146.0,12753.0,408.0,2181.0
conditional restriction,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,72.0,0.0,3.0,0.0,0.0,0.0,0.0
construction,29.0,47.0,0.0,7.0,0.0,0.0,161.0,23.0,121.0,304.0,0.0,85.0,0.0,7.0,0.0,36.0,0.0,9.0
date,1.0,60.0,0.0,6.0,0.0,0.0,2.0,4.0,5518.0,4.0,0.0,36.0,0.0,1.0,0.0,25.0,0.0,2.0
deprecated,543.0,6152.0,88.0,389.0,328.0,17.0,5644.0,1497.0,6850.0,7059.0,1599.0,80891.0,190.0,7000.0,33.0,8277.0,550.0,405.0
disused,96.0,2237.0,13.0,230.0,62.0,6.0,383.0,1793.0,4688.0,3147.0,16.0,36533.0,15.0,8152.0,1.0,1028.0,8.0,152.0
double cycleway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplicate geometry,2024.0,3527.0,1808.0,79.0,265.0,11.0,1693.0,15550.0,26537.0,2101.0,3959.0,7561.0,91.0,1482.0,60.0,5839.0,337.0,1533.0
duplicate object,0.0,23.0,4.0,7.0,2.0,0.0,49.0,9.0,26.0,24.0,3.0,76.0,0.0,8.0,1.0,16.0,1.0,0.0
duplicate wikipedia,6.0,16.0,0.0,12.0,5.0,0.0,37.0,5.0,2.0,26.0,1.0,39.0,0.0,6.0,0.0,46.0,0.0,1.0
duplicated node,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0
duplicated way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elevation,435.0,2.0,48.0,110.0,5.0,0.0,1539.0,302.0,328.0,335.0,69.0,2956.0,4.0,69.0,20.0,1464.0,8.0,3227.0
enforcement,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,8.0,0.0,0.0
erroneous boundary,3.0,13.0,10.0,0.0,1.0,0.0,15.0,24.0,32.0,17.0,2.0,229.0,1.0,3.0,0.0,32.0,0.0,0.0
far from water,0.0,7.0,0.0,0.0,3.0,0.0,26.0,20.0,9.0,8.0,1.0,57.0,2.0,2.0,0.0,2.0,0.0,1.0
fixme import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixme review,879.0,4622.0,118.0,523.0,244.0,18.0,2018.0,4175.0,8981.0,1783.0,233.0,150901.0,48.0,975.0,15.0,1988.0,247.0,849.0
geometry,23894.0,2214.0,25.0,46.0,66.0,2.0,620.0,455.0,608.0,1610.0,45.0,2284.0,3.0,2119.0,7.0,379.0,30.0,2072.0
highway,293.0,4814.0,16.0,59.0,10.0,0.0,256.0,4701.0,5580.0,2356.0,20.0,579.0,1.0,1438.0,0.0,463.0,2.0,77.0
highway crossing,0.0,15.0,1.0,7.0,4.0,0.0,756.0,13.0,6.0,11.0,0.0,236.0,0.0,76.0,0.0,529.0,2.0,0.0
highway roundabout,40.0,36.0,4.0,8.0,0.0,0.0,127.0,16.0,5.0,128.0,5.0,9.0,0.0,20.0,0.0,43.0,0.0,83.0
incompatible tags,37.0,243.0,14.0,48.0,17.0,1.0,295.0,1337.0,312.0,205.0,14.0,1479.0,3.0,158.0,2.0,264.0,8.0,276.0
"incorrect ""lanes""",2.0,64.0,1.0,0.0,0.0,0.0,797.0,7.0,2.0,151.0,3.0,595.0,0.0,32.0,0.0,45.0,0.0,2.0
incorrect layer,272.0,5687.0,85.0,115.0,33.0,3.0,1222.0,527.0,1134.0,592.0,118.0,4288.0,3.0,479.0,1.0,552.0,3.0,104.0
incorrect tag,250.0,631.0,81.0,110.0,60.0,13.0,595.0,289.0,1766.0,389.0,31.0,2159.0,1.0,623.0,3.0,1329.0,58.0,37.0
indoor,32.0,33.0,0.0,0.0,14.0,0.0,121.0,3.0,5.0,42.0,14.0,1641.0,0.0,4.0,0.0,2.0,0.0,0.0
invalid character,1389.0,473.0,49.0,629.0,14.0,0.0,298.0,2507.0,732.0,1353.0,7.0,486.0,9.0,170.0,0.0,2481.0,12.0,490.0
invalid polygon,2.0,9.0,15.0,1.0,16.0,0.0,4.0,0.0,26.0,1.0,1.0,22.0,0.0,17.0,0.0,20.0,0.0,0.0
junction=roundabout,21.0,24.0,0.0,12.0,0.0,0.0,410.0,16.0,0.0,207.0,3.0,2.0,0.0,3.0,0.0,7.0,0.0,0.0
local language,,5641.0,,10840.0,35.0,10.0,3921.0,38207.0,23892.0,,27.0,4676.0,5.0,,24.0,,,890.0
missing object kind,181.0,2475.0,162.0,415.0,718.0,9.0,1151.0,792.0,3868.0,1858.0,25.0,8114.0,34.0,859.0,4.0,399.0,72.0,772.0
missing tag or role,854.0,16019.0,262.0,822.0,165.0,2.0,545.0,4863.0,5341.0,2298.0,24.0,14145.0,49.0,4356.0,0.0,5960.0,104.0,569.0
multiple,5.0,58.0,7.0,7.0,4.0,0.0,45.0,44.0,66.0,239.0,3.0,124.0,0.0,34.0,0.0,46.0,0.0,13.0
multiple tags,5.0,17.0,4.0,4.0,0.0,0.0,77.0,5.0,113.0,21.0,22.0,6325.0,1.0,4.0,3.0,68.0,0.0,1.0
multiple values,3.0,76.0,7.0,10.0,4.0,0.0,94.0,47.0,83.0,249.0,3.0,143.0,0.0,109.0,0.0,55.0,0.0,13.0
multipolygon,298.0,467.0,150.0,85.0,139.0,31.0,788.0,171.0,724.0,792.0,63.0,847.0,22.0,505.0,76.0,404.0,16.0,14.0
node on ways,3.0,2561.0,6.0,69.0,3.0,0.0,64.0,170.0,168.0,257.0,1.0,291.0,2.0,120.0,0.0,133.0,1.0,8.0
noexit,3.0,5.0,0.0,1.0,14.0,0.0,72.0,1.0,14.0,58.0,1.0,33.0,0.0,10.0,0.0,4.0,4.0,2.0
not-connected highway/cycleway,2797.0,23573.0,162.0,681.0,512.0,317.0,8626.0,16951.0,8802.0,4352.0,3646.0,8910.0,3886.0,3636.0,571.0,1156.0,573.0,980.0
numeric,371.0,475.0,7.0,31.0,34.0,0.0,387.0,6100.0,2681.0,411.0,44.0,1293.0,0.0,182.0,11.0,1080.0,6.0,58.0
numeric value,20.0,175.0,6.0,20.0,59.0,1.0,715.0,6258.0,174.0,256.0,306.0,963.0,1.0,32.0,0.0,146.0,3.0,60.0
objects intersection,1488.0,1376.0,824.0,193.0,66.0,1.0,365.0,1364.0,6793.0,1819.0,199.0,1455.0,173.0,573.0,1.0,577.0,15.0,73.0
objects overlap,3901.0,42807.0,688.0,4421.0,352.0,20.0,4115.0,13355.0,23657.0,8449.0,220.0,18386.0,202.0,6965.0,73.0,15008.0,23.0,13513.0
on junction=roundabout,164.0,88.0,12.0,251.0,0.0,1.0,2234.0,80.0,20.0,578.0,2.0,746.0,0.0,86.0,1.0,282.0,0.0,168.0
one-node way,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oneway,12.0,7.0,0.0,2.0,0.0,0.0,28.0,4.0,9.0,45.0,0.0,4.0,0.0,3.0,0.0,6.0,0.0,7.0
open polygon,0.0,22.0,13.0,1.0,12.0,0.0,21.0,4.0,46.0,10.0,0.0,218.0,0.0,1.0,0.0,1.0,0.0,0.0
opening hours,0.0,90.0,54.0,12.0,9.0,0.0,120.0,30.0,510.0,54.0,2.0,118.0,0.0,40.0,0.0,23.0,3.0,2.0
openrailwaymap,12.0,71.0,0.0,25.0,1.0,0.0,419.0,528.0,1.0,140.0,0.0,509.0,0.0,139.0,0.0,127.0,0.0,0.0
orphan nodes,11.0,15.0,1.0,0.0,0.0,0.0,1.0,16.0,26.0,0.0,14.0,7.0,0.0,1.0,0.0,8.0,0.0,45.0
orthograph,359.0,2303.0,194.0,276.0,694.0,7.0,3308.0,880.0,1871.0,2904.0,25.0,21496.0,10.0,1765.0,4.0,5834.0,51.0,83.0
overlapping building,1509.0,42632.0,319.0,1093.0,916.0,21.0,4303.0,17161.0,28335.0,4239.0,3860.0,47523.0,72.0,5955.0,106.0,12615.0,311.0,6148.0
parking lane,57.0,102.0,77.0,50.0,44.0,1.0,2405.0,396.0,170.0,560.0,43.0,7062.0,1.0,326.0,25.0,946.0,12.0,52.0
phone number,0.0,3.0,0.0,4.0,1.0,1.0,7.0,7.0,96.0,16.0,1.0,739.0,0.0,4.0,0.0,22.0,0.0,1.0
postcode,42.0,176.0,41.0,0.0,0.0,0.0,58.0,1066.0,738.0,171.0,4.0,500.0,0.0,241.0,0.0,151.0,0.0,0.0
potential misspelling,,,,,3.0,0.0,36.0,,,,4.0,112.0,0.0,,0.0,,,
power lines,3028.0,1493.0,343.0,226.0,3664.0,0.0,2328.0,1083.0,945.0,6136.0,121.0,8734.0,0.0,1169.0,20.0,21221.0,0.0,639.0
power transformer,133.0,73.0,3.0,1.0,3.0,0.0,97.0,66.0,118.0,175.0,2.0,387.0,0.0,12.0,0.0,98.0,0.0,25.0
public transport,32.0,1311.0,6.0,293.0,12.0,0.0,537.0,757.0,542.0,99.0,2.0,1997.0,0.0,301.0,1.0,521.0,0.0,0.0
public_transport route,61.0,64.0,12.0,207.0,89.0,0.0,1053.0,2645.0,1247.0,2220.0,17.0,3331.0,1.0,1198.0,6.0,1818.0,24.0,33.0
railways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recycling container,0.0,2.0,0.0,0.0,1.0,0.0,43.0,0.0,5.0,2.0,0.0,485.0,0.0,0.0,0.0,10.0,0.0,5.0
related objects,0.0,3.0,13.0,1.0,0.0,0.0,25.0,1.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0
relation,6.0,34.0,16.0,8.0,15.0,0.0,59.0,17.0,28.0,63.0,16.0,167.0,5.0,15.0,0.0,44.0,0.0,0.0
relation role,1.0,10.0,0.0,0.0,0.0,0.0,5.0,60.0,2.0,6.0,20.0,13.0,0.0,3.0,0.0,8.0,0.0,5.0
relation type=boundary,2.0,5.0,1882.0,3.0,0.0,31.0,15.0,221.0,6014.0,41.0,0.0,85.0,0.0,8.0,0.0,11.0,0.0,0.0
relation type=restriction,0.0,35.0,0.0,13.0,1.0,0.0,455.0,61.0,32.0,17.0,5.0,37.0,0.0,13.0,0.0,117.0,0.0,1.0
reverse roundabout,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
route access mismatch,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0
sideway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0
similar name,0.0,418.0,0.0,617.0,2.0,0.0,1260.0,0.0,422.0,580.0,1.0,633.0,0.0,319.0,0.0,0.0,3.0,17.0
similar values,100.0,32.0,1.0,49.0,1.0,0.0,158.0,13.0,13.0,58.0,1.0,182.0,25.0,10.0,0.0,39.0,0.0,14.0
small poly,919.0,173.0,5.0,7.0,0.0,0.0,23.0,91.0,23.0,9.0,67.0,54.0,0.0,39.0,0.0,9.0,0.0,4.0
source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specific France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
street numbers,248.0,13789.0,1570.0,1683.0,1467.0,3.0,12557.0,3069.0,8738.0,106899.0,53.0,51627.0,22.0,2317.0,2.0,92594.0,31.0,343.0
sudden highway type change,259.0,295.0,22.0,12.0,7.0,7.0,236.0,130.0,256.0,520.0,13.0,270.0,8.0,98.0,3.0,104.0,8.0,97.0
surface intersection,1362.0,2362.0,25.0,106.0,58.0,2.0,336.0,973.0,1860.0,536.0,39.0,5122.0,80.0,218.0,6.0,1537.0,12.0,59.0
swimming pool,4.0,8.0,2.0,1.0,23.0,0.0,18.0,13.0,15.0,11.0,0.0,222.0,0.0,35.0,1.0,19.0,0.0,15.0
tagwatch cleaner,2.0,50.0,2.0,0.0,0.0,0.0,139.0,640.0,109.0,27.0,1.0,26.0,0.0,38.0,0.0,3.0,0.0,1.0
territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tunnel/bridge,3.0,10.0,3.0,2.0,0.0,0.0,333.0,13.0,2.0,163.0,6.0,304.0,0.0,29.0,0.0,34.0,0.0,37.0
two names,69.0,337.0,15.0,23.0,40.0,2.0,4284.0,180.0,96.0,420.0,7.0,437.0,1.0,539.0,0.0,49.0,5.0,3.0
typo in tag,3.0,223.0,3.0,18.0,0.0,0.0,20.0,8.0,123.0,4.0,1.0,158.0,0.0,20.0,0.0,45.0,0.0,0.0
unclosed area,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
unnecessary,109.0,1051.0,23.0,100.0,35.0,3.0,384.0,1240.0,894.0,1065.0,110.0,1695.0,94.0,350.0,1.0,702.0,28.0,112.0
unwanted tag on node,94.0,1807.0,6.0,84.0,10.0,0.0,472.0,34.0,111.0,315.0,1.0,10.0,0.0,1612.0,2.0,449.0,0.0,0.0
waterway,1357.0,4062.0,211.0,951.0,266.0,9.0,1595.0,5631.0,4314.0,1581.0,855.0,5624.0,153.0,2091.0,3.0,1163.0,138.0,498.0
wikipedia,142.0,185.0,4.0,18.0,8.0,6.0,195.0,250.0,38.0,292.0,5.0,465.0,1.0,45.0,1.0,525.0,77.0,456.0
